HASH,FILE,DONE,AUTHOR,CREATE,MODIFY,TYPE
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/AbstractCommand.java,x,Gabriel Roldan (Boundless),2012,2014,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/AnsiDecorator.java,x,Gabriel Roldan (Boundless),2012,2014,java
aa4237fceec09e039efe6d5cf44c28162c091d8d,src/cli/src/main/java/org/locationtech/geogig/cli/ArgumentTokenizer.java,x,Victor Olaya (Boundless),2014,2014,java
314c938f6b2828f1d2fe86a5d71d19fc986383ec,src/cli/src/main/java/org/locationtech/geogig/cli/BuiltinCommandsModule.java,x,Michael Fawcett (LMN Solutions),2012,2014,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/CLICommand.java,x,Gabriel Roldan (Boundless),2012,2014,java
42dab6e766887dc4324f283792b83bb83d660ecf,src/cli/src/main/java/org/locationtech/geogig/cli/CLICommandExtension.java,x,Gabriel Roldan (Boundless),2012,2013,java
ec66fea1f81c24c898eccef28b59da43f1b55104,src/cli/src/main/java/org/locationtech/geogig/cli/CLIContextBuilder.java,x,Gabriel Roldan (Boundless),2014,2014,java
314c938f6b2828f1d2fe86a5d71d19fc986383ec,src/cli/src/main/java/org/locationtech/geogig/cli/CLIModule.java,x,Michael Fawcett (LMN Solutions),2012,2013,java
24701af85b607fd8a6af78fcbb43742c9d082f5c,src/cli/src/main/java/org/locationtech/geogig/cli/CommandFailedException.java,x,Victor Olaya (Boundless),2013,2013,java
be2098534754f555f23deedc2a368713436037e3,src/cli/src/main/java/org/locationtech/geogig/cli/GeoGigPy4JProgressListener.java,x,Victor Olaya (Boundless),2014,2014,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/GeogigCLI.java,x,Gabriel Roldan (Boundless),2012,2014,java
e98dfad482e6a70c24773860f05f451572f365f9,src/cli/src/main/java/org/locationtech/geogig/cli/GeogigConsole.java,x,Gabriel Roldan (Boundless),2012,2014,java
be2098534754f555f23deedc2a368713436037e3,src/cli/src/main/java/org/locationtech/geogig/cli/GeogigPy4JEntryPoint.java,x,Victor Olaya (Boundless),2014,2014,java
849f0f6270ef18114e790739b0fcc623f1f41a78,src/cli/src/main/java/org/locationtech/geogig/cli/InvalidParameterException.java,x,Gabriel Roldan (Boundless),2013,2013,java
743978602b73f25611b2e5ec876fef8cd06fa8e1,src/cli/src/main/java/org/locationtech/geogig/cli/Logging.java,x,Gabriel Roldan (Boundless),2014,2014,java
0c8cf3075183b43ef93279bd8d3524e201b5068d,src/cli/src/main/java/org/locationtech/geogig/cli/annotation/ObjectDatabaseReadOnly.java,x,Gabriel Roldan (Boundless),2014,2014,java
0c8cf3075183b43ef93279bd8d3524e201b5068d,src/cli/src/main/java/org/locationtech/geogig/cli/annotation/ReadOnly.java,x,Gabriel Roldan (Boundless),2014,2014,java
0c8cf3075183b43ef93279bd8d3524e201b5068d,src/cli/src/main/java/org/locationtech/geogig/cli/annotation/RemotesReadOnly.java,x,Gabriel Roldan (Boundless),2014,2014,java
0c8cf3075183b43ef93279bd8d3524e201b5068d,src/cli/src/main/java/org/locationtech/geogig/cli/annotation/RequiresRepository.java,x,Gabriel Roldan (Boundless),2014,2014,java
0c8cf3075183b43ef93279bd8d3524e201b5068d,src/cli/src/main/java/org/locationtech/geogig/cli/annotation/StagingDatabaseReadOnly.java,x,Gabriel Roldan (Boundless),2014,2014,java
ebd46991c78c39ffc4513aacf75135708b782158,src/cli/src/main/java/org/locationtech/geogig/cli/plumbing/Cat.java,x,Victor Olaya (Boundless),2013,2014,java
ebd46991c78c39ffc4513aacf75135708b782158,src/cli/src/main/java/org/locationtech/geogig/cli/plumbing/DiffTree.java,x,Victor Olaya (Boundless),2013,2014,java
f9ae8b4dee1bf19424fb616247cb5985e8e18ed4,src/cli/src/main/java/org/locationtech/geogig/cli/plumbing/Insert.java,x,Victor Olaya (Boundless),2014,2014,java
c2b0997c1dfa0f744cc95e88b77bf0f0d17ad3c4,src/cli/src/main/java/org/locationtech/geogig/cli/plumbing/LsTree.java,x,Victor Olaya (Boundless),2012,2014,java
ebd46991c78c39ffc4513aacf75135708b782158,src/cli/src/main/java/org/locationtech/geogig/cli/plumbing/MergeBase.java,x,Victor Olaya (Boundless),2013,2014,java
0e0e0062eac4ed893568e8e5ed5cd07dea3e0843,src/cli/src/main/java/org/locationtech/geogig/cli/plumbing/RebuildGraph.java,x,Johnathan Garrett (LMN Solutions),2013,2014,java
ebd46991c78c39ffc4513aacf75135708b782158,src/cli/src/main/java/org/locationtech/geogig/cli/plumbing/RevList.java,x,Victor Olaya (Boundless),2013,2014,java
ebd46991c78c39ffc4513aacf75135708b782158,src/cli/src/main/java/org/locationtech/geogig/cli/plumbing/RevListArgs.java,x,Victor Olaya (Boundless),2013,2014,java
